PrintISSN,EISSN,Title,Titles discontinued by Scopus due to quality issues
21593442,21593450,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",
,,"IEEE Semiconducting and Semi-Insulating Materials Conference, SIMC",
,,"IEEE Symposium on VLSI Circuits, Digest of Technical Papers",
,,IEEE Symposium Record on Network Operations and Management Symposium,
7400551,,IEEE Vehicular Technology Conference,
10923152,,"IEEE/ACM International Conference on Computer-Aided Design, Digest of Technical Papers",
,,"IEEE/ASME International Conference on Advanced Intelligent Mechatronics, AIM",
7411146,,IFAC Proceedings Series,
24058963,24058963,IFAC-PapersOnLine,
16800737,,IFMBE Proceedings,
13561448,,IMechE Event Publications,
9513248,,Institute of Physics Conference Series,
2750473,,"INTELEC, International Telecommunications Energy Conference (Proceedings)",
,,Intelligent Engineering Systems Through Artificial Neural Networks,
24149179,24149209,"InterCarto, InterGIS",
16821750,,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",
,,International Chemical Recovery Conference,
,,"International Conference - Nuclear Energy for New Europe, Proceedings",
10636862,,"International Conference on Application-Specific Systems, Architectures and Processors, Proceedings",
,,International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS,
,,"International Conference on Communication Technology Proceedings, ICCT",
,,International Conference on Computational Structures Technology - Proceedings,
,26401177,International Conference on Construction in the 21st Century,
,,International Conference on Database and Expert Systems Applications - DEXA,
,,"International Conference on Debris-Flow Hazards Mitigation: Mechanics, Prediction, and Assessment, Proceedings",
,,International Conference on Digital Printing Technologies,
,25622331,International Conference on Embedded Wireless Systems and Networks,
,,"International Conference on Health, Safety and Environment in Oil and Gas Exploration and Production",
,26035871,International Conference on Higher Education Advances,
21621233,21621241,International Conference on ICT Convergence,
,,"International Conference on Information and Knowledge Management, Proceedings",
,,"International Conference on Intelligent User Interfaces, Proceedings IUI",
16943597,16943600,International Conference on Multidisciplinary Research,
,,"International Conference on Nuclear Engineering, Proceedings, ICONE",
,21843481,International Conference on Quality Engineering and Management,
,,"International Conference on Signal Processing Proceedings, ICSP",
13138502,,"International Conference Recent Advances in Natural Language Processing, RANLP",
,,International Environmental Conference,
,,International Geoscience and Remote Sensing Symposium (IGARSS),
13142704,,"International Multidisciplinary Scientific GeoConference Surveying Geology and Mining Ecology Management, SGEM",
,,"International Paper and Coating Chemistry Symposium, Proceedings",
,,"International Paper Physics Conference, Proceedings",
,24463833,International Research Symposium on PBL,
8910138,,International SAMPE Symposium and Exhibition,
,,International SAMPE Technical Conference,
,27097609,International Seminar on ORC Power Systems,
15468402,,International Solar Energy Conference,
,,International Specialty Conference on Cold-Formed Steel Structures: Recent Research and Developments in Cold-Formed Steel Design and Construction,
,,"International Symposium on Combustion, Abstracts of Accepted Papers",
,,"International Symposium on Combustion, Abstracts of Works-in-Progress Posters",
,,"International Symposium on Discharges and Electrical Insulation in Vacuum, ISDEIV",
26201429,26201437,International Symposium on Graphic Engineering and Design,
,,"International Symposium on Low Power Electronics and Design, Digest of Technical Papers",
,,International Symposium on Technology and Society,
1524766X,,"International Symposium on VLSI Technology, Systems, and Applications, Proceedings",
,,"International Workshop on Advanced Motion Control, AMC",
,,International Workshop on Principles of Software Evolution (IWPSE),
,,International Workshop on System-Level Interconnect Prediction (SLIP 2000),
,26644487,International Workshop on Visual Analytics,
17551307,17551315,IOP Conference Series: Earth and Environmental Science,
17578981,1757899X,IOP Conference Series: Materials Science and Engineering,Discontinued by Scopus
,,IS and T's International Conference on Digital Production Printing and Industrial Applications,
10540032,,ISA TECH/EXPO Technology Update Conference Proceedings,
21949042,21949050,"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences",
9326022,,ITG-Fachbericht,
11554339,17647177,Journal De Physique. IV : JP,
15726495,,Journal of Chromatography - Biomedical Applications,
17426588,17426596,Journal of Physics: Conference Series,
3608905,,"Journal of Polymer Science, Polymer Symposia",
,,King Fahd University of Petroleum and Minerals Research Institute Annual Catalysts in Petroleum Refining and Petrochemicals Symposium Papers,
22217932,20757182,Komp'juternaja Lingvistika i Intellektual'nye Tehnologii,
2868180,,Kyushu Tokai Daigaku Nogakubu Kiyo/Proceedings of School of Agriculture Kyushu Tokai University,
26615134,16915941,Latvijas Nacionalas Bibliotekas Zinatniskie Raksti,
