PrintISSN,EISSN,Title,Active or Inactive,Titles discontinued by Scopus due to quality issues,Source Type,Title history indication,Related title 1,Other related title 2,Other related title 3,Other related title 4,Publisher
,26921952,ACS Agricultural Science and Technology,Active,,Journal,,,,,,American Chemical Society
,25766422,ACS Applied Bio Materials,Active,,Journal,,,,,,American Chemical Society
,26376113,ACS Applied Electronic Materials,Active,,Journal,,,,,,American Chemical Society
,25740962,ACS Applied Energy Materials,Active,,Journal,,,,,,American Chemical Society
19448244,19448252,ACS applied materials & interfaces,Active,,Journal,,,,,,American Chemical Society
,25740970,ACS Applied Nano Materials,Active,,Journal,,,,,,American Chemical Society
,26376105,ACS Applied Polymer Materials,Active,,Journal,,,,,,American Chemical Society
,26942437,ACS Bio and Med Chem Au,Active,,Journal,,,,,,American Chemical Society
,23739878,ACS Biomaterials Science and Engineering,Active,,Journal,,,,,,American Chemical Society
,21555435,ACS Catalysis,Active,,Journal,,,,,,American Chemical Society
23747943,23747951,ACS Central Science,Active,,Journal,,,,,,American Chemical Society
15548929,15548937,ACS Chemical Biology,Active,,Journal,,,,,,American Chemical Society
,19487193,ACS Chemical Neuroscience,Active,,Journal,,,,,,American Chemical Society
,24723452,ACS Earth and Space Chemistry,Active,,Journal,,,,,,American Chemical Society
,23808195,ACS Energy Letters,Active,,Journal,,,,,,American Chemical Society
,26942518,ACS Environmental Au,Active,,Journal,,,,,,American Chemical Society
,26900645,ACS ES and T Engineering,Active,,Journal,,,,,,American Chemical Society
,26900637,ACS ES and T Water,Active,,Journal,,,,,,American Chemical Society
,26921944,ACS Food Science and Technology,Active,,Journal,,,,,,American Chemical Society
,23738227,ACS Infectious Diseases,Active,,Journal,,,,,,American Chemical Society
,21611653,ACS Macro Letters,Active,,Journal,,,,,,American Chemical Society
,26942461,ACS Materials Au,Active,,Journal,,,,,,American Chemical Society
,26394979,ACS Materials Letters,Active,,Journal,,,,,,American Chemical Society
,2694250X,ACS Measurement Science Au,Active,,Journal,,,,,,American Chemical Society
,19485875,ACS Medicinal Chemistry Letters,Active,,Journal,,,,,,American Chemical Society
19360851,1936086X,ACS Nano,Active,,Journal,,,,,,American Chemical Society
,26942496,ACS Nanoscience Au,Active,,Journal,,,,,,American Chemical Society
,24701343,ACS Omega,Active,,Journal,,,,,,American Chemical Society
,2694247X,ACS Organic and Inorganic Au,Active,,Journal,,,,,,American Chemical Society
,25759108,ACS Pharmacology and Translational Science,Active,,Journal,,,,,,American Chemical Society
,23304022,ACS Photonics,Active,,Journal,,,,,,American Chemical Society
