PrintISSN,EISSN,Title,Title History Indication,Related Title,Publisher Imprint,Publisher
10756280,,Analytical Profiles of Drug Substances and Excipients,Continued as,"Profiles of Drug Substances, Excipients and Related Methodology",Academic Press,Elsevier
9264345,,Analytical Spectroscopy Library,,,Elsevier B.V.,Elsevier
18716636,,Ancient Judaism and Early Christianity,,,Brill,Brill
15667952,,Ancient Magic and Divination,,,Brill Academic Publishers,Brill
12396303,,Annales Academiae Scientiarum Fennicae Mathematica Dissertationes,,,Suomalainen Tiedeakatemia/Academia Scientiarum Fennica,Suomalainen Tiedeakatemia/Academia Scientiarum Fennica
14085348,13189425,Annales: Anali za istrske in mediteranske studije - Annali di Studi istriani e mediterranei - Annals for Istrian and Mediterranean Studies. Series historia et sociologia,,,"The Historical Society of Southern Primorska of Koper, Institute IRRIS for Research, Development and Strategies of Society, Culture and Environment","The Historical Society of Southern Primorska of Koper, Institute IRRIS for Research, Development and Strategies of Society, Culture and Environment"
5319870,,Annali della Fondazione Luigi Einaudi. Fondazione Luigi Einaudi,,,Casa Editrice Leo S. Olschki,Casa Editrice Leo S. Olschki
15925927,22843892,Annali di Studi Religiosi,,,Centro Editoriale Dehoniano,Centro Editoriale Dehoniano
2153957X,,Annals of Anthropological Practice,,,John Wiley and Sons Ltd,Wiley-Blackwell
1675060,,Annals of Discrete Mathematics,,,North-Holland Publ Co,Elsevier
662313,,Annals of Mathematics Studies,,,Princeton University Press,Princeton University Press
15681548,,Annals of the International Institute of Sociology,,,Brill,Brill
24740179,24740187,Annals of the International Society of Dynamic Games,,,Birkhauser Verlag Basel,Springer Nature
8906564,17496632,Annals of The Lyceum of Natural History of New York,Continued as,Annals of the New York Academy of Sciences,New York Academy of Sciences,New York Academy of Sciences
15741400,,Annual Reports in Computational Chemistry,,,Elsevier B.V.,Elsevier
657743,15578437,Annual Reports in Medicinal Chemistry,,,Elsevier Inc.,Elsevier
664103,,Annual Reports on NMR Spectroscopy,,,Elsevier Inc.,Elsevier
19361327,19361335,Annual Review of Analytical Chemistry,,,Annual Reviews Inc.,Annual Reviews Inc.
846570,15454290,Annual Review of Anthropology,,,Annual Reviews Inc.,Annual Reviews Inc.
2671905,,Annual Review of Applied Linguistics,,,Cambridge University Press,Cambridge University Press
664146,15454282,Annual Review of Astronomy and Astrophysics,,,Annual Reviews Inc.,Annual Reviews Inc.
